[1, 'E5', 100]
[0, 'E5', 70]
[1, 'E5', 100]
[0, 'E5', 70]
[1, 'E5', 230]
[0, 'E5', 70]
[1, 'C5', 200]
[0, 'C5', 70]
[1, 'E5', 100]
[0, 'E5', 70]
[1, 'G5', 230]
[0, 'G5', 70]
[1, 'G4', 540]
[0, 'G4', 70]
[1, 'C5', 540, '2part']
[0, 'C5', 70]
[1, 'G4', 410]
[0, 'G4', 70]
[1, 'E4', 410]
[0, 'E4', 70]
[1, 'A4', 410]
[0, 'A4', 70]
[1, 'B4', 200]
[0, 'B4', 70]
[1, 'A#4', 260]
[0, 'A#4', 70]
[1, 'A4', 90]
[0, 'A4', 70]
[1, 'G4', 220]
[0, 'G4', 70]
[1, 'E5', 130]
[0, 'E5', 70]
[1, 'G5', 130]
[0, 'G5', 70]
[1, 'A5', 130]
[0, 'A5', 70]
[1, 'F5', 270]
[0, 'F5', 70]
[1, 'G5', 100]
[0, 'G5', 70]
[1, 'E5', 250]
[0, 'E5', 70]
[1, 'C5', 250]
[0, 'C5', 70]
[1, 'D5', 100]
[0, 'D5', 70]
[1, 'B4', 100]
[0, 'B4', 70]
[1, 'C5', 540, '3part']
[0, 'C5', 70]
[1, 'G4', 410]
[0, 'G4', 70]
[1, 'E4', 410]
[0, 'E4', 70]
[1, 'A4', 410]
[0, 'A4', 70]
[1, 'B4', 200]
[0, 'B4', 70]
[1, 'A#4', 260]
[0, 'A#4', 70]
[1, 'A4', 90]
[0, 'A4', 70]
[1, 'G4', 220]
[0, 'G4', 70]
[1, 'E5', 130]
[0, 'E5', 70]
[1, 'G5', 130]
[0, 'G5', 70]
[1, 'A5', 130]
[0, 'A5', 70]
[1, 'F5', 270]
[0, 'F5', 70]
[1, 'G5', 100]
[0, 'G5', 70]
[1, 'E5', 250]
[0, 'E5', 70]
[1, 'C5', 250]
[0, 'C5', 70]
[1, 'D5', 100]
[0, 'D5', 70]
[1, 'B4', 100]
[0, 'B4', 70]
[1, 'G5', 660, '4part']
[0, 'G5', 70]
[1, 'F#5', 80]
[0, 'F#5', 70]
[1, 'F5', 80]
[0, 'F5', 70]
[1, 'D5', 80]
[0, 'D5', 70]
[1, 'E5', 80]
[0, 'E5', 70]
[1, 'G4', 105]
[0, 'G4', 50]
[1, 'A4', 70]
[0, 'A4', 50]
[1, 'C5', 140]
[0, 'C5', 70]
[1, 'A4', 80]
[0, 'A4', 70]
[1, 'C5', 80]
[0, 'C5', 70]
[1, 'D5', 80]
[0, 'D5', 70]
[1, 'G5', 105]
[0, 'G5', 70]
[1, 'F#5', 90]
[0, 'F#5', 70]
[1, 'F5', 90]
[0, 'F5', 70]
[1, 'D5', 80]
[0, 'D5', 70]
[1, 'G5', 240]
[0, 'G5', 70]
[1, 'F#5', 80]
[0, 'F#5', 70]
[1, 'F5', 80]
[0, 'F5', 70]
[1, 'D5', 80]
[0, 'D5', 70]
[1, 'E5', 80]
[0, 'E5', 50]
[1, 'C5', 105]
[0, 'C5', 70]
[1, 'C6', 220]
[0, 'C6', 70]
[1, 'C6', 240]
[0, 'C6', 70]
[1, 'C6', 80]
[0, 'C6', 70]
[1, 'G5', 880, '5part']
[0, 'G5', 70]
[1, 'F#5', 80]
[0, 'F#5', 70]
[1, 'F5', 80]
[0, 'F5', 70]
[1, 'D5', 80]
[0, 'D5', 70]
[1, 'E5', 80]
[0, 'E5', 70]
[1, 'G4', 105]
[0, 'G4', 50]
[1, 'A4', 70]
[0, 'A4', 50]
[1, 'C5', 140]
[0, 'C5', 70]
[1, 'A4', 80]
[0, 'A4', 70]
[1, 'C5', 80]
[0, 'C5', 70]
[1, 'D5', 80]
